currentRanking,displayName,userUrl,tier,points,joined,totalGoldMedals,totalSilverMedals,totalBronzeMedals
235,Evgeny_Semyonov,/lightforever,expert,23.0,2016-04-11T13:24:10.46Z,0,0,3
236,Tania J,/taniaj,expert,23.0,2017-09-29T11:20:32.837Z,0,2,1
237,Mehmet Sungur,/medyasun,expert,23.0,2018-08-26T09:51:54.033Z,0,0,4
238,Siti k,/khotijahs1,expert,23.0,2018-11-30T07:34:10.193Z,0,0,4
239,Kamal Das,/kmldas,expert,23.0,2019-02-05T10:09:22.163Z,0,0,3
240,Piyush Agnihotri,/piyushagni5,expert,23.0,2019-07-13T18:55:31.94Z,0,0,3
241,Rohit Sahoo,/rohitsahoo,expert,23.0,2020-01-02T14:35:38.513Z,0,0,3
242,Tanuj dhiman,/tanujdhiman,expert,23.0,2020-01-20T17:36:17.953Z,0,0,3
243,Ada Kibet,/adakibet,expert,23.0,2020-02-19T12:13:39.89Z,0,0,4
244,SkyLord,/skylord,expert,22.0,2014-10-30T11:44:02.607Z,0,0,3
245,JackyWang,/jackywang529,expert,22.0,2016-01-24T16:21:28.413Z,0,0,3
246,LiamLarsen,/kingburrito666,expert,22.0,2017-02-18T02:22:50.503Z,0,1,5
247,Meric Pakkan,/pakkanmeric,expert,22.0,2018-10-16T16:17:03.94Z,0,0,3
248,voru588,/alenavorushilova,expert,22.0,2019-01-23T12:22:44.663Z,0,0,3
249,Yassine Hamdaoui,/yassinehamdaoui1,expert,22.0,2019-04-05T14:14:33.593Z,0,0,3
250,Saurav Anand,/saurav9786,expert,22.0,2019-04-18T09:49:56.273Z,0,0,3
251,Nico,/python10pm,expert,22.0,2019-09-11T13:33:50.037Z,0,0,3
252,DoVan,/nhan1212,expert,22.0,2019-09-29T11:28:25.613Z,0,0,4
253,Archit9406,/archit9406,expert,22.0,2020-05-07T06:06:14.64Z,0,0,3
254,Jean-Michel D.,/jeanmidev,expert,21.0,2017-01-17T20:30:15.63Z,0,1,2
255,Mobasshir Bhuiyan,/mobasshir,expert,21.0,2017-10-08T17:52:08.387Z,0,0,3
256,Noah Weber,/zikazika,expert,21.0,2018-03-31T17:00:54.853Z,0,0,4
257,Jassican,/jassican,expert,21.0,2019-05-30T06:55:45.483Z,0,0,3
258,Nahian Rifaat,/nahianrifaat,expert,21.0,2020-01-04T19:44:49.34Z,0,0,3
259,Dionisius Darryl Hermansyah,/dionisiusdh,expert,21.0,2020-03-14T08:14:22.92Z,0,0,4
260,Dark_Knight_98,/darkknight98,expert,21.0,2020-06-04T10:36:57.53Z,0,0,3
261,MD. Mehedi Hassan Galib,/galibce003,expert,21.0,2020-07-19T15:52:47.577Z,0,0,3
262,Tarek Hamdi,/hamditarek,expert,20.0,2018-02-27T15:31:16.033Z,0,0,4
263,Prageeth Anjula,/praanj,expert,20.0,2019-01-06T03:29:35.25Z,0,0,3
264,Yogesh Singla,/yogeshkumarsingla,expert,20.0,2019-06-25T10:22:28.21Z,0,0,4
265,Bunty,/subbhashit,expert,20.0,2019-08-12T13:15:08.847Z,0,0,3
266,SHREYAS P J,/shreyaspj,expert,20.0,2020-04-23T14:37:35.937Z,0,0,3
